year,transect_label,transect,survey_1,survey_2,survey_3,Nmin,n.surveys,,,,,
2012,A1,1,NA,NA,NA,0,0,,,,,
2012,A2,2,29,28,NA,29,2,,,,,
2012,A3,3,38,25,NA,38,2,,,,,
2012,A4,4,17,8,NA,17,2,,,,,
2012,B1,5,20,16,NA,20,2,,,,,
2012,B2,6,10,6,NA,10,2,,,,,
2012,B3,7,7,5,NA,7,2,,,,,
2012,B4,8,0,0,NA,0,2,,,,,
2012,C1,9,12,9,NA,12,2,,,,,
2012,C2,10,14,5,NA,14,2,,,,,
2012,C3,11,3,1,NA,3,2,,,,,
2012,D1,12,3,2,NA,3,2,,,,,
2012,D2,13,0,0,NA,0,2,,,,,
2012,E1,14,1,1,NA,1,2,,,,,
2012,E2,15,1,0,NA,1,2,,,,,
2015,A1,1,20,30,NA,30,2,,,,,
2015,A2,2,35,33,NA,35,2,,,,,
2015,A3,3,54,45,NA,54,2,,,,,
2015,A4,4,11,12,NA,12,2,,,,,
2015,B1,5,10,16,NA,16,2,,,,,
2015,B2,6,12,13,NA,13,2,,,,,
2015,B3,7,2,4,NA,4,2,,,,,
2015,B4,8,2,2,NA,2,2,,,,,
2015,C1,9,26,9,NA,26,2,,,,,
2015,C2,10,11,10,NA,11,2,,,,,
2015,C3,11,3,3,NA,3,2,,,,,
2015,D1,12,0,0,NA,0,2,,,,,
2015,D2,13,1,1,NA,1,2,,,,,
2015,E1,14,3,2,NA,3,2,,,,,
2015,E2,15,0,0,NA,0,2,,,,,
2021,A1,1,29,20,25,29,3,,,,,
2021,A2,2,28,23,27,28,3,,,,,
2021,A3,3,30,26,16,30,3,,,,,
2021,A4,4,10,12,19,19,3,,,,,
2021,B1,5,8,6,7,8,3,,,,,
2021,B2,6,28,4,12,28,3,,,,,
2021,B3,7,0,1,0,1,3,,,,,
2021,B4,8,1,1,1,1,3,,,,,
2021,C1,9,3,6,7,7,3,,,,,
2021,C2,10,24,14,17,24,3,,,,,
2021,C3,11,9,6,9,9,3,,,,,
2021,D1,12,0,2,1,2,3,,,,,
2021,D2,13,0,0,0,0,3,,,,,
2021,E1,14,1,0,0,1,3,,,,,
2021,E2,15,1,1,2,2,3,,,,,
